title,event_url,created_at_utc,updated_at_utc,forecast_method,forecast_source_name,forecast_source_url,forecast_text,forecast_target_raw,forecast_target_unit,forecast_target_market_unit,market_unit,latitude,longitude,timezone_name,picked_outcome_label,entry_yes_midpoint,entry_yes_bid,entry_yes_ask,latest_yes_midpoint,latest_yes_bid,latest_yes_ask,latest_spread,best_mid_seen,best_mid_seen_at_utc,best_exit_bid_seen,best_exit_bid_seen_at_utc,gross_pnl_if_exit_now,gross_pnl_at_best_exit
Highest temperature in Lagos on April 18?,https://polymarket.com/event/highest-temperature-in-lagos-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-21T07:42:08+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=6.45407&longitude=3.39467&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Lagos on 2026-04-18,32.7,C,33.0,C,6.45407,3.39467,Africa/Lagos,Will the highest temperature in Lagos be 27°C or below on April 18?,,,,,,,,,,,,,
Highest temperature in Cape Town on April 18?,https://polymarket.com/event/highest-temperature-in-cape-town-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-21T07:42:08+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=-33.92584&longitude=18.42322&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Cape Town on 2026-04-18,16.7,C,17.0,C,-33.92584,18.42322,Africa/Johannesburg,Will the highest temperature in Cape Town be 13°C or below on April 18?,,,,,,,,,,,,,
Highest temperature in Karachi on April 18?,https://polymarket.com/event/highest-temperature-in-karachi-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-21T07:42:08+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=24.8608&longitude=67.0104&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Karachi on 2026-04-18,30.1,C,30.0,C,24.8608,67.0104,Asia/Karachi,Will the highest temperature in Karachi be 25°C or below on April 18?,,,,,,,,,,,,,
Highest temperature in London on April 19?,https://polymarket.com/event/highest-temperature-in-london-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-21T07:42:08+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=51.50853&longitude=-0.12574&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for London on 2026-04-19,15.3,C,15.0,C,51.50853,-0.12574,Europe/London,Will the highest temperature in London be 10°C on April 19?,0.0005,0.0,0.001,,,,,0.0005,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,,-0.001
Highest temperature in Paris on April 19?,https://polymarket.com/event/highest-temperature-in-paris-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-21T07:42:08+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=48.85341&longitude=2.3488&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Paris on 2026-04-19,17.6,C,18.0,C,48.85341,2.3488,Europe/Paris,Will the highest temperature in Paris be 13°C or below on April 19?,0.002,0.0,0.004,,,,,0.0025,2026-04-18T22:57:17+00:00,0.002,2026-04-18T22:57:17+00:00,,-0.002
Highest temperature in Sao Paulo on April 19?,https://polymarket.com/event/highest-temperature-in-sao-paulo-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-21T07:42:08+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=-23.5475&longitude=-46.63611&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Sao Paulo on 2026-04-19,27.2,C,27.0,C,-23.5475,-46.63611,America/Sao_Paulo,Will the highest temperature in Sao Paulo be 23°C or below on April 19?,0.0035,0.002,0.003,,,,,0.004,2026-04-18T21:50:09+00:00,0.002,2026-04-18T21:06:37+00:00,,-0.001
Highest temperature in Buenos Aires on April 19?,https://polymarket.com/event/highest-temperature-in-buenos-aires-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-21T07:42:08+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=-34.61315&longitude=-58.37723&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Buenos Aires on 2026-04-19,22.2,C,22.0,C,-34.61315,-58.37723,America/Argentina/Buenos_Aires,Will the highest temperature in Buenos Aires be 18°C or below on April 19?,0.0005,0.0,0.001,,,,,0.002,2026-04-18T22:57:17+00:00,0.0,2026-04-18T21:06:37+00:00,,-0.001
Highest temperature in Seoul on April 19?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-21T07:42:08+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=37.566&longitude=126.9784&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Seoul on 2026-04-19,25.7,C,26.0,C,37.566,126.9784,Asia/Seoul,Will the highest temperature in Seoul be 14°C or below on April 19?,0.0005,0.0,0.001,,,,,0.0005,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,,-0.001
Highest temperature in Toronto on April 19?,https://polymarket.com/event/highest-temperature-in-toronto-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-21T07:42:08+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=43.70643&longitude=-79.39864&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Toronto on 2026-04-19,6.9,C,7.0,C,43.70643,-79.39864,America/Toronto,Will the highest temperature in Toronto be 0°C or below on April 19?,0.0005,0.0,0.001,,,,,0.0065,2026-04-18T21:50:09+00:00,0.004,2026-04-18T21:50:09+00:00,,0.003
Highest temperature in Seattle on April 19?,https://polymarket.com/event/highest-temperature-in-seattle-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-21T07:42:08+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=47.60621&longitude=-122.33207&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Seattle on 2026-04-19,71.8,F,72.0,F,47.60621,-122.33207,America/Los_Angeles,Will the highest temperature in Seattle be 43°F or below on April 19?,0.0005,0.0,0.001,,,,,0.0005,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,,-0.001
Highest temperature in NYC on April 19?,https://polymarket.com/event/highest-temperature-in-nyc-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-21T07:42:08+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=40.71427&longitude=-74.00597&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for NYC on 2026-04-19,50.7,F,51.0,F,40.71427,-74.00597,America/New_York,Will the highest temperature in New York City be 47°F or below on April 19?,0.0045,0.004,0.005,,,,,0.0045,2026-04-18T21:06:37+00:00,0.004,2026-04-18T21:06:37+00:00,,-0.001
Highest temperature in Dallas on April 19?,https://polymarket.com/event/highest-temperature-in-dallas-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-21T07:42:08+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=32.78306&longitude=-96.80667&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Dallas on 2026-04-19,71.0,F,71.0,F,32.78306,-96.80667,America/Chicago,Will the highest temperature in Dallas be 71°F or below on April 19?,0.42,0.41,0.43,,,,,0.505,2026-04-18T22:57:17+00:00,0.49,2026-04-18T22:57:17+00:00,,0.06
Highest temperature in Atlanta on April 19?,https://polymarket.com/event/highest-temperature-in-atlanta-on-april-19-2026,2026-04-18T21:06:37+00:00,2026-04-21T07:42:08+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=33.749&longitude=-84.38798&daily=temperature_2m_max&start_date=2026-04-19&end_date=2026-04-19&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Atlanta on 2026-04-19,70.4,F,70.0,F,33.749,-84.38798,America/New_York,Will the highest temperature in Atlanta be 55°F or below on April 19?,0.0005,0.0,0.001,,,,,0.0005,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,,-0.001
